"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 10 22:57:41 IST 2019","Sat Aug 10 22:57:41 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_pass[i]",""
"broken","Sat Aug 10 22:57:39 IST 2019","Sat Aug 10 22:57:39 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[C]",""
"passed","Sat Aug 10 23:35:04 IST 2019","Sat Aug 10 23:35:04 IST 2019","7","test_scripts.test_dashboard","test_dashboard","","","","test_datda_pass[Firefox]",""
"broken","Sat Aug 10 22:57:41 IST 2019","Sat Aug 10 22:57:41 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_pass[o0]",""
"broken","Sat Aug 10 22:57:40 IST 2019","Sat Aug 10 22:57:40 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[r1]",""
"broken","Sat Aug 10 22:57:42 IST 2019","Sat Aug 10 22:57:42 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_fail[h]",""
"broken","Sat Aug 10 22:57:41 IST 2019","Sat Aug 10 22:57:41 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_pass[o1]",""
"broken","Sat Aug 10 22:57:42 IST 2019","Sat Aug 10 22:57:42 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_fail[,]",""
"broken","Sat Aug 10 22:57:42 IST 2019","Sat Aug 10 22:57:42 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_fail[F]",""
"broken","Sat Aug 10 23:26:05 IST 2019","Sat Aug 10 23:26:05 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[ Firefox]",""
"broken","Sat Aug 10 22:57:42 IST 2019","Sat Aug 10 22:57:42 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_fail[i]",""
"broken","Sat Aug 10 23:29:15 IST 2019","Sat Aug 10 23:29:15 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[ Chrome0]",""
"broken","Sat Aug 10 22:57:42 IST 2019","Sat Aug 10 22:57:42 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_pass[x]",""
"broken","Sat Aug 10 22:57:43 IST 2019","Sat Aug 10 22:57:43 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_fail[f]",""
"broken","Sat Aug 10 22:57:42 IST 2019","Sat Aug 10 22:57:42 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda_fail[e0]",""
"broken","Sat Aug 10 22:57:40 IST 2019","Sat Aug 10 22:57:40 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[f]",""
"passed","Sat Aug 10 23:33:59 IST 2019","Sat Aug 10 23:33:59 IST 2019","6","test_scripts.test_dashboard","test_dashboard","","","","test_datda[Firefox]",""
"passed","Sat Aug 10 23:35:33 IST 2019","Sat Aug 10 23:35:33 IST 2019","12","test_scripts.test_dashboard","test_dashboard","","","","test_datda_pass[Chrome]",""
"broken","Sat Aug 10 22:57:40 IST 2019","Sat Aug 10 22:57:40 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[e1]",""
"broken","Sat Aug 10 22:57:39 IST 2019","Sat Aug 10 22:57:39 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[m]",""
"broken","Sat Aug 10 22:57:40 IST 2019","Sat Aug 10 22:57:40 IST 2019","0","test_scripts.test_dashboard","test_dashboard","","","","test_datda[e0]",""
